order_id,customer_id,channel,order_date,total_amount,status
O000127,C04230,直営店,2024-09-12,164400,完了
O000128,C03973,販売代理店,2024-08-24,20100,完了
O000129,C01254,販売代理店,2024-06-12,365200,キャンセル
O000130,C00998,ECサイト,2023-09-20,258500,完了
O000131,C01010,ECサイト,2025-02-11,52500,完了
O000132,C01972,直営店,2023-06-18,451300,完了
O000133,C03205,ECサイト,2022-09-18,65100,完了
O000134,C03481,直営店,2023-05-31,497800,完了
O000135,C01142,ECサイト,2023-08-14,299600,キャンセル
O000136,C04203,直営店,2023-12-19,146700,完了
O000137,C02281,販売代理店,2022-08-31,430400,完了
O000138,C01061,販売代理店,2024-07-31,219200,完了
O000139,C04092,販売代理店,2024-10-31,65300,完了
O000140,C03147,ECサイト,2023-01-23,140000,処理中
O000141,C00938,直営店,2024-07-15,53400,完了
O000142,C04969,販売代理店,2024-03-14,171600,完了
O000143,C03094,直営店,2023-09-08,337400,処理中
O000144,C01328,ECサイト,2023-07-27,37600,完了
O000145,C01668,直営店,2025-02-03,136500,完了
O000146,C04656,販売代理店,2023-06-20,282400,キャンセル
O000147,C04103,ECサイト,2024-08-21,272900,完了
O000148,C00827,直営店,2022-07-26,64800,完了
O000149,C00185,直営店,2023-12-16,313700,完了
O000150,C02360,直営店,2024-01-12,152900,完了
O000151,C04473,販売代理店,2023-04-05,345200,キャンセル
O000152,C00487,直営店,2025-03-09,105300,完了
O000153,C02834,直営店,2023-09-29,292400,処理中
O000154,C04069,販売代理店,2025-01-02,133400,完了
O000155,C00216,直営店,2022-05-24,341800,完了
O000156,C01026,ECサイト,2022-11-06,446500,完了
O000157,C00475,直営店,2022-12-08,249100,完了
O000158,C03593,直営店,2023-05-19,178000,完了
O000159,C03922,販売代理店,2025-01-22,115500,完了
O000160,C04454,直営店,2024-07-03,471500,完了
O000161,C02001,販売代理店,2023-06-19,243200,キャンセル
O000162,C02292,直営店,2025-03-26,182800,完了
O000163,C01006,ECサイト,2022-11-29,215600,完了
O000164,C03718,直営店,2023-02-20,76000,完了
O000165,C04819,ECサイト,2024-08-21,84000,完了
O000166,C04996,ECサイト,2025-02-24,453800,完了
O000167,C04363,直営店,2022-11-30,95400,完了
O000168,C00213,販売代理店,2024-09-12,328900,完了
O000169,C03503,販売代理店,2023-10-29,83300,処理中
O000170,C02355,販売代理店,2024-08-30,390400,完了
O000171,C00701,直営店,2022-11-26,421300,完了
O000172,C02053,販売代理店,2024-06-25,409700,完了
O000173,C00073,ECサイト,2024-03-18,117300,完了
O000174,C02265,販売代理店,2025-01-12,26700,完了
O000175,C02114,ECサイト,2022-03-28,120100,完了
O000176,C00316,直営店,2024-05-07,343600,完了
O000177,C02895,販売代理店,2023-08-23,336200,完了
O000178,C02669,販売代理店,2022-11-26,463200,完了
O000179,C02745,ECサイト,2022-09-16,147400,キャンセル
O000180,C00366,ECサイト,2025-01-29,370100,処理中
O000181,C01230,ECサイト,2022-07-18,92400,完了
O000182,C04632,販売代理店,2023-10-13,371500,処理中
O000183,C02597,ECサイト,2024-12-01,240600,完了
O000184,C01975,ECサイト,2024-12-03,280600,完了
O000185,C03678,ECサイト,2024-10-17,226600,完了
O000186,C04791,販売代理店,2023-10-11,188700,完了
O000187,C03450,販売代理店,2025-02-14,569800,処理中
O000188,C00828,直営店,2023-04-29,344200,キャンセル
O000189,C01045,ECサイト,2023-02-25,216800,完了
O000190,C02758,販売代理店,2022-06-18,23000,完了
O000191,C00605,販売代理店,2023-10-20,356900,処理中
O000192,C01503,販売代理店,2023-06-11,321800,完了
O000193,C04168,販売代理店,2022-10-28,28000,完了
O000194,C04042,ECサイト,2024-11-27,421000,完了
O000195,C01726,ECサイト,2024-05-17,598500,完了
O000196,C03596,直営店,2022-07-21,120600,キャンセル
O000197,C01695,販売代理店,2023-09-18,89900,完了
O000198,C00055,ECサイト,2025-01-01,90800,完了
O000199,C02309,販売代理店,2024-08-03,329000,完了
O000200,C04041,ECサイト,2022-10-25,61600,完了
O000201,C01823,販売代理店,2023-01-29,297600,完了
O000202,C04202,販売代理店,2024-12-06,330300,完了
O000203,C00066,直営店,2023-05-17,536000,完了
O000204,C02316,直営店,2023-12-08,99200,完了
O000205,C00027,ECサイト,2024-07-01,569200,完了
O000206,C04784,直営店,2024-01-15,250100,完了
O000207,C04898,ECサイト,2025-01-18,370100,完了
O000208,C02666,直営店,2025-03-24,204800,完了
O000209,C02613,販売代理店,2024-04-30,416100,完了
O000210,C00238,ECサイト,2023-06-24,59700,完了
O000211,C02144,販売代理店,2024-10-10,316000,完了
O000212,C02784,販売代理店,2023-09-09,175900,完了
O000213,C00904,販売代理店,2024-08-02,38900,完了
O000214,C03107,直営店,2023-02-12,130000,完了
O000215,C02967,販売代理店,2023-12-14,163200,完了
O000216,C02378,直営店,2024-05-23,155600,処理中
O000217,C00165,販売代理店,2023-01-29,136000,完了
O000218,C00277,ECサイト,2023-12-17,300400,完了
O000219,C00166,直営店,2023-07-03,450300,完了
O000220,C02476,ECサイト,2024-01-29,199200,完了
O000221,C03085,ECサイト,2025-01-12,133500,完了
O000222,C04369,販売代理店,2023-09-08,135800,完了
O000223,C03054,販売代理店,2025-02-12,155000,完了
O000224,C02545,ECサイト,2022-09-15,77400,完了
O000225,C01702,ECサイト,2023-06-24,149800,完了
O000226,C03880,販売代理店,2023-08-07,436800,完了
O000227,C02634,販売代理店,2023-03-04,433900,完了
O000228,C02565,販売代理店,2022-05-02,276100,完了
O000229,C03078,直営店,2023-11-04,134400,完了
O000230,C03585,直営店,2024-08-17,237500,完了
O000231,C02431,直営店,2022-09-25,431800,完了
O000232,C04619,販売代理店,2022-07-31,391200,完了
O000233,C03868,ECサイト,2024-07-14,305800,完了
O000234,C03411,直営店,2023-11-12,61500,完了
O000235,C01538,直営店,2022-10-14,438600,完了
O000236,C04581,直営店,2024-08-06,27000,完了
O000237,C02329,ECサイト,2022-11-05,310600,完了
O000238,C00844,販売代理店,2023-03-06,137300,完了
O000239,C02705,販売代理店,2024-02-19,400400,完了
O000240,C01201,直営店,2024-05-02,53200,完了
O000241,C00428,直営店,2022-10-01,406900,完了
O000242,C03091,ECサイト,2023-05-09,240600,完了
O000243,C01361,販売代理店,2022-05-11,94100,完了
O000244,C00986,販売代理店,2023-04-30,226000,キャンセル
O000245,C03475,直営店,2023-04-27,135400,完了
O000246,C01605,ECサイト,2023-06-13,102100,完了
O000247,C03022,ECサイト,2025-03-08,79500,完了
O000248,C00275,販売代理店,2023-08-24,122600,完了
O000249,C03857,販売代理店,2024-07-09,445100,完了
O000250,C01450,直営店,2023-11-04,134400,完了
O000251,C00511,ECサイト,2024-01-31,374200,完了
O000252,C04230,直営店,2023-05-08,208600,処理中
O000253,C00688,直営店,2024-10-01,140300,完了
O000254,C02550,ECサイト,2023-08-22,231200,完了
O000255,C04655,販売代理店,2024-06-27,206200,完了
O000256,C04843,販売代理店,2023-05-20,170000,処理中
O000257,C03772,直営店,2024-09-06,107000,キャンセル
O000258,C02544,直営店,2024-11-28,230000,完了
O000259,C01543,ECサイト,2024-04-20,154900,キャンセル
O000260,C02168,直営店,2024-04-28,422200,完了
O000261,C03555,ECサイト,2024-08-23,296600,完了
O000262,C02116,直営店,2023-05-29,86700,完了
O000263,C03893,直営店,2022-12-23,220700,完了
O000264,C02940,直営店,2022-11-06,341500,完了
O000265,C03825,販売代理店,2025-03-17,71200,完了
O000266,C04863,販売代理店,2022-04-29,293600,完了
O000267,C02460,直営店,2024-06-25,118700,処理中
O000268,C02207,販売代理店,2022-08-21,54300,完了
O000269,C02463,販売代理店,2025-02-28,303100,処理中
O000270,C03244,直営店,2024-07-11,122800,完了
O000271,C00659,直営店,2022-08-02,106400,完了
O000272,C01263,販売代理店,2022-06-29,413400,完了
O000273,C04505,販売代理店,2023-08-11,74300,完了
O000274,C00785,ECサイト,2023-07-03,286100,完了
O000275,C04891,ECサイト,2023-03-06,126900,完了
O000276,C03024,ECサイト,2025-01-06,196000,完了
O000277,C00633,販売代理店,2022-10-28,296100,完了
O000278,C01474,ECサイト,2023-06-25,222600,完了
O000279,C01340,ECサイト,2023-06-08,18600,完了
O000280,C02837,販売代理店,2024-06-05,399600,完了
O000281,C00095,ECサイト,2023-04-13,310000,完了
O000282,C04113,ECサイト,2025-02-16,291500,完了
O000283,C00656,直営店,2022-10-28,261300,完了
O000284,C04011,ECサイト,2022-12-21,507600,完了
O000285,C01465,ECサイト,2024-09-23,46200,完了
O000286,C02439,販売代理店,2024-03-07,11000,完了
O000287,C04353,販売代理店,2022-09-14,52100,完了
O000288,C04043,ECサイト,2023-03-22,298000,キャンセル
O000289,C02676,ECサイト,2023-10-08,421700,完了
O000290,C02105,販売代理店,2022-10-17,14400,完了
O000291,C01570,販売代理店,2023-03-30,300900,完了
O000292,C01763,ECサイト,2022-12-28,131100,完了
O000293,C01485,販売代理店,2024-03-09,58800,完了
O000294,C00154,ECサイト,2024-03-27,289600,完了
O000295,C01842,直営店,2022-04-16,253300,完了
O000296,C04817,ECサイト,2023-07-16,290000,完了
O000297,C02619,ECサイト,2024-09-13,160500,完了
O000298,C03196,ECサイト,2024-11-11,258400,完了
O000299,C02584,ECサイト,2023-02-16,28800,完了
O000300,C02881,販売代理店,2023-09-11,135000,完了
O000301,C04559,販売代理店,2024-07-30,91500,完了
O000302,C00795,ECサイト,2023-04-27,75500,完了
O000303,C01464,直営店,2023-04-15,380000,完了
O000304,C00866,販売代理店,2022-06-22,527600,キャンセル
O000305,C02346,ECサイト,2022-06-12,218300,完了
O000306,C03802,販売代理店,2022-10-02,48300,完了
O000307,C03427,ECサイト,2022-11-16,49200,完了
O000308,C01136,販売代理店,2024-05-02,75600,完了
O000309,C00188,ECサイト,2025-02-10,228800,完了
O000310,C03034,直営店,2022-10-20,518400,完了
O000311,C01637,ECサイト,2023-01-23,105200,完了
O000312,C04732,ECサイト,2023-01-27,454600,完了
O000313,C03787,販売代理店,2024-08-26,7800,処理中
O000314,C03329,販売代理店,2023-10-06,309500,処理中
O000315,C00490,ECサイト,2024-08-05,136500,完了
O000316,C04191,販売代理店,2023-04-30,215200,完了
O000317,C03003,ECサイト,2024-10-05,310700,完了
O000318,C00796,ECサイト,2024-01-04,215200,完了
O000319,C02005,ECサイト,2022-10-08,362700,完了
O000320,C01148,直営店,2024-11-10,180000,完了
O000321,C04617,ECサイト,2023-11-02,238300,完了
O000322,C02416,直営店,2022-12-08,141500,完了
O000323,C01868,直営店,2025-03-16,421100,キャンセル
O000324,C02820,販売代理店,2023-06-15,758600,完了
O000325,C03112,直営店,2025-01-07,115600,完了
O000326,C02534,直営店,2024-12-07,155000,完了
O000327,C03763,販売代理店,2024-10-20,31200,処理中
O000328,C01660,ECサイト,2024-11-17,230400,完了
O000329,C04643,販売代理店,2022-12-04,132500,完了
O000330,C01454,直営店,2023-07-15,186100,処理中
O000331,C01086,販売代理店,2022-03-31,240800,完了
O000332,C03804,直営店,2022-09-30,41000,完了
O000333,C01610,ECサイト,2022-06-03,21200,完了
O000334,C00819,販売代理店,2022-11-04,593100,完了
O000335,C04825,販売代理店,2024-04-26,362700,完了
O000336,C02693,販売代理店,2022-05-08,374100,完了
O000337,C04598,販売代理店,2022-06-22,316200,完了
O000338,C01465,直営店,2024-09-13,303900,完了
O000339,C01899,直営店,2024-02-15,335500,完了
O000340,C04678,販売代理店,2024-07-21,101400,完了
O000341,C04999,販売代理店,2023-12-01,298700,完了
O000342,C02509,ECサイト,2024-09-10,235900,完了
O000343,C00047,ECサイト,2024-02-08,361400,完了
O000344,C02415,ECサイト,2024-07-21,297800,完了
O000345,C00610,直営店,2022-06-24,478500,完了
O000346,C04971,販売代理店,2023-11-26,100800,完了
O000347,C02262,販売代理店,2024-08-13,431800,完了
O000348,C01244,直営店,2024-11-10,242600,完了
O000349,C01151,直営店,2024-02-23,292200,キャンセル
O000350,C03837,直営店,2023-09-25,108000,完了
O000351,C03366,ECサイト,2022-12-31,302800,完了
O000352,C04414,ECサイト,2023-06-26,116800,完了
O000353,C04574,直営店,2025-02-21,477000,完了
O000354,C03697,販売代理店,2023-03-07,413600,完了
O000355,C00176,ECサイト,2024-08-13,86100,完了
O000356,C00155,直営店,2024-02-03,327200,完了
O000357,C04706,ECサイト,2022-09-29,265400,キャンセル
O000358,C01044,販売代理店,2024-08-29,159600,完了
O000359,C01886,販売代理店,2022-05-25,276300,完了
O000360,C00224,直営店,2023-10-27,356500,キャンセル
O000361,C03661,ECサイト,2023-06-14,88400,完了
O000362,C00761,直営店,2022-12-05,392600,完了
O000363,C03401,直営店,2022-09-28,139200,完了
O000364,C03916,ECサイト,2023-04-19,264500,完了
O000365,C02540,直営店,2024-10-29,78100,完了
O000366,C02251,販売代理店,2025-01-04,142200,完了
O000367,C01049,販売代理店,2025-03-03,329400,完了
O000368,C01291,ECサイト,2024-02-01,309800,完了
O000369,C03058,ECサイト,2022-08-31,157800,完了
O000370,C00234,ECサイト,2024-03-12,126000,完了
O000371,C04903,販売代理店,2024-02-05,70600,完了
O000372,C00755,ECサイト,2023-06-06,42400,処理中
O000373,C03401,販売代理店,2022-04-24,336100,完了
O000374,C00790,ECサイト,2022-09-04,252200,完了
O000375,C03309,ECサイト,2023-04-18,83600,キャンセル
O000376,C02054,直営店,2025-01-27,256300,完了
O000377,C02687,ECサイト,2024-06-22,81900,完了
O000378,C00394,直営店,2022-10-16,21400,処理中
O000379,C01949,直営店,2023-12-26,120800,完了
O000380,C03964,ECサイト,2023-10-25,607300,完了
O000381,C04215,ECサイト,2024-05-08,182000,完了
O000382,C00791,販売代理店,2023-08-07,363200,キャンセル
O000383,C03748,直営店,2024-07-19,256600,完了
O000384,C04135,直営店,2023-06-12,297000,完了
O000385,C04612,販売代理店,2024-11-11,308600,完了
O000386,C01246,販売代理店,2023-08-24,344600,処理中
O000387,C02638,直営店,2023-01-17,185000,完了
O000388,C00486,ECサイト,2023-10-19,350300,完了
O000389,C02037,ECサイト,2024-01-25,321400,完了
O000390,C01167,販売代理店,2023-07-31,213200,完了
O000391,C04903,ECサイト,2023-07-27,340000,完了
O000392,C02230,直営店,2024-10-02,444000,完了
O000393,C02385,直営店,2023-10-05,114600,完了
O000394,C01977,販売代理店,2024-05-05,198900,完了
O000395,C02062,販売代理店,2023-09-18,350500,完了
O000396,C01989,販売代理店,2022-03-28,332600,完了
O000397,C04837,販売代理店,2025-02-12,314600,処理中
O000398,C03775,販売代理店,2023-11-23,202300,キャンセル
O000399,C00211,直営店,2025-02-26,75000,完了
O000400,C00810,ECサイト,2024-10-06,152800,処理中
O000401,C02077,ECサイト,2023-12-05,298400,完了
O000402,C03754,販売代理店,2023-08-10,330900,処理中
O000403,C02856,直営店,2022-09-29,121800,完了
O000404,C04410,販売代理店,2024-04-04,154100,完了
O000405,C03327,ECサイト,2023-06-22,262000,完了
O000406,C03977,ECサイト,2023-01-22,237900,完了
O000407,C04147,販売代理店,2023-05-10,137600,完了
O000408,C00742,販売代理店,2022-06-07,324600,完了
O000409,C03156,直営店,2024-05-15,171300,完了
O000410,C02015,販売代理店,2024-11-13,414000,完了
O000411,C03608,販売代理店,2024-06-25,114900,完了
O000412,C03959,ECサイト,2022-09-02,436600,完了
O000413,C02982,ECサイト,2022-04-05,206100,完了
O000414,C02636,販売代理店,2022-06-11,521900,完了
O000415,C04539,直営店,2024-05-21,523300,完了
O000416,C04580,販売代理店,2023-08-06,257100,完了
O000417,C04668,ECサイト,2022-10-01,214400,処理中
O000418,C03530,販売代理店,2024-07-30,123600,完了
O000419,C02539,販売代理店,2022-07-31,371300,完了
O000420,C00056,販売代理店,2022-09-02,148200,完了
O000421,C04340,ECサイト,2023-04-12,80200,完了
O000422,C04055,販売代理店,2024-05-25,180600,完了
O000423,C04703,販売代理店,2023-06-11,299500,処理中
O000424,C02550,ECサイト,2023-03-21,435300,完了
O000425,C02878,販売代理店,2024-05-08,157000,完了
O000426,C04564,直営店,2022-04-22,21200,完了
O000427,C04335,直営店,2024-08-31,263000,完了
O000428,C01490,販売代理店,2023-11-19,187500,完了
O000429,C03611,販売代理店,2024-10-25,78500,完了
O000430,C00318,販売代理店,2024-11-08,104500,キャンセル
O000431,C00883,ECサイト,2024-09-01,653300,完了
O000432,C03670,直営店,2023-06-11,115600,完了
O000433,C02996,直営店,2023-02-03,302200,完了
O000434,C04259,直営店,2023-07-15,385200,完了
O000435,C01110,ECサイト,2023-09-02,326400,完了
O000436,C04018,直営店,2023-04-13,423200,完了
O000437,C02353,販売代理店,2024-05-30,368600,完了
O000438,C04377,直営店,2023-01-23,192600,完了
O000439,C04165,販売代理店,2022-11-12,405400,完了
O000440,C04058,直営店,2024-01-13,155300,完了
O000441,C01451,ECサイト,2024-02-06,100900,完了
O000442,C02116,ECサイト,2022-03-31,265300,完了
O000443,C03090,ECサイト,2023-08-15,243000,完了
O000444,C03240,直営店,2024-02-01,197500,完了
O000445,C01503,販売代理店,2023-02-28,315000,完了
O000446,C00889,直営店,2024-11-05,144600,完了
O000447,C04246,直営店,2023-01-13,115600,完了
O000448,C00312,ECサイト,2022-07-18,48300,完了
O000449,C03039,ECサイト,2025-03-19,212800,完了
O000450,C00359,販売代理店,2024-04-16,298100,完了
O000451,C03785,直営店,2023-09-08,95900,処理中
O000452,C01255,ECサイト,2023-06-30,232400,完了
O000453,C00208,ECサイト,2024-10-18,102000,完了
O000454,C01175,販売代理店,2023-10-20,57800,処理中
O000455,C03359,販売代理店,2022-04-25,360500,完了
O000456,C00049,ECサイト,2023-09-07,13800,完了
O000457,C01840,販売代理店,2023-05-04,342700,完了
O000458,C04019,販売代理店,2023-06-19,335700,完了
O000459,C03183,ECサイト,2023-01-26,76900,キャンセル
O000460,C03768,ECサイト,2023-08-01,637400,完了
O000461,C03637,ECサイト,2024-11-06,298600,完了
O000462,C01565,販売代理店,2024-12-27,680800,完了
O000463,C00891,販売代理店,2024-07-25,347400,完了
O000464,C04520,直営店,2024-05-01,126000,完了
O000465,C03293,販売代理店,2023-05-05,231200,完了
O000466,C02013,販売代理店,2022-07-17,95700,完了
O000467,C00433,ECサイト,2025-03-11,141400,キャンセル
O000468,C00541,ECサイト,2025-02-14,304800,完了
O000469,C02374,ECサイト,2023-03-03,496400,完了
O000470,C02044,直営店,2023-11-18,44800,完了
O000471,C01111,ECサイト,2025-01-01,165400,完了
O000472,C04029,販売代理店,2023-02-13,140100,完了
O000473,C03225,直営店,2022-06-08,109400,完了
O000474,C02906,販売代理店,2024-10-28,341800,処理中
O000475,C04264,直営店,2023-02-03,138000,完了
O000476,C02156,ECサイト,2023-09-05,173600,処理中
O000477,C02728,販売代理店,2023-10-15,495800,完了
O000478,C03074,ECサイト,2023-06-30,534000,完了
O000479,C04005,ECサイト,2024-05-23,177800,完了
O000480,C00877,直営店,2024-08-01,176300,完了
O000481,C00618,直営店,2024-06-24,176400,完了
O000482,C00867,販売代理店,2024-12-05,64200,完了
O000483,C00751,直営店,2022-07-31,82300,完了
O000484,C03170,ECサイト,2022-09-03,166800,完了
O000485,C04960,販売代理店,2023-02-08,69000,完了
O000486,C00652,直営店,2022-06-05,144800,処理中
O000487,C01542,直営店,2022-05-24,205700,完了
O000488,C04928,ECサイト,2022-06-05,305200,完了
O000489,C04347,直営店,2022-12-10,229200,完了
O000490,C02820,販売代理店,2023-12-03,248600,完了
O000491,C04663,ECサイト,2023-09-06,290200,完了
O000492,C02460,ECサイト,2024-08-07,129600,完了
O000493,C03357,ECサイト,2024-05-22,334400,キャンセル
O000494,C03159,ECサイト,2022-08-28,181000,処理中
O000495,C03273,ECサイト,2023-06-03,58400,完了
O000496,C00135,ECサイト,2024-03-29,257500,完了
O000497,C02487,販売代理店,2024-08-26,108800,完了
O000498,C01310,ECサイト,2023-12-12,22000,処理中
O000499,C00549,ECサイト,2022-06-04,250700,完了
O000500,C02774,販売代理店,2024-01-17,401500,完了
O000501,C03028,販売代理店,2024-07-02,100800,処理中
O000502,C03032,ECサイト,2022-04-15,312000,完了
O000503,C04729,ECサイト,2022-07-27,179200,完了
O000504,C02041,ECサイト,2024-06-12,41000,完了
O000505,C03147,直営店,2022-12-10,206400,完了
O000506,C03791,販売代理店,2023-01-22,225400,処理中
O000507,C01173,ECサイト,2023-03-21,21200,完了
O000508,C01830,販売代理店,2024-11-20,212100,完了
O000509,C03971,ECサイト,2024-03-06,294300,完了
O000510,C02034,ECサイト,2024-04-03,79000,完了
O000511,C01674,直営店,2023-08-20,61600,完了
O000512,C00645,ECサイト,2023-07-07,76400,完了
O000513,C04865,ECサイト,2024-07-15,158400,完了
O000514,C02261,直営店,2025-03-24,143600,完了
O000515,C02675,販売代理店,2023-11-12,163000,完了
O000516,C03558,販売代理店,2024-09-26,156600,完了
O000517,C02655,販売代理店,2024-03-27,8800,完了
O000518,C01081,ECサイト,2024-04-07,21600,完了
O000519,C00838,販売代理店,2024-05-31,141600,完了
O000520,C00665,ECサイト,2023-01-23,135800,完了
O000521,C04466,直営店,2023-04-04,326700,完了
O000522,C02137,直営店,2023-03-16,240700,完了
O000523,C01251,直営店,2025-02-12,130700,完了
