order_item_id,order_id,product_id,quantity,unit_price
OI0000443,O000151,P0084,1,8800
OI0000444,O000151,P0005,6,24300
OI0000445,O000151,P0054,5,15300
OI0000446,O000151,P0026,6,14600
OI0000447,O000152,P0097,1,27000
OI0000448,O000152,P0031,8,6900
OI0000449,O000152,P0010,1,23100
OI0000450,O000153,P0095,2,19500
OI0000451,O000153,P0071,8,19500
OI0000452,O000153,P0017,5,12500
OI0000453,O000153,P0093,1,23000
OI0000454,O000153,P0014,1,11900
OI0000455,O000154,P0056,8,7200
OI0000456,O000154,P0039,4,15800
OI0000457,O000154,P0003,1,12600
OI0000458,O000155,P0088,1,22000
OI0000459,O000155,P0071,8,19500
OI0000460,O000155,P0007,7,16000
OI0000461,O000155,P0099,7,7400
OI0000462,O000156,P0018,2,7200
OI0000463,O000156,P0057,2,8900
OI0000464,O000156,P0079,6,28000
OI0000465,O000156,P0046,4,11000
OI0000466,O000156,P0044,7,28900
OI0000467,O000157,P0002,4,18800
OI0000468,O000157,P0053,1,14700
OI0000469,O000157,P0002,4,18800
OI0000470,O000157,P0008,2,16800
OI0000471,O000157,P0008,3,16800
OI0000472,O000158,P0045,4,11200
OI0000473,O000158,P0038,3,7300
OI0000474,O000158,P0078,7,15900
OI0000475,O000159,P0010,5,23100
OI0000476,O000160,P0029,8,30000
OI0000477,O000160,P0092,5,26800
OI0000478,O000160,P0047,5,19500
OI0000479,O000161,P0090,2,14800
OI0000480,O000161,P0007,6,16000
OI0000481,O000161,P0053,8,14700
OI0000482,O000162,P0067,4,24800
OI0000483,O000162,P0040,4,20900
OI0000484,O000163,P0005,4,24300
OI0000485,O000163,P0090,8,14800
OI0000486,O000164,P0035,5,15200
OI0000487,O000165,P0008,5,16800
OI0000488,O000166,P0050,8,6900
OI0000489,O000166,P0006,4,18800
OI0000490,O000166,P0027,7,28700
OI0000491,O000166,P0024,7,17500
OI0000492,O000167,P0070,6,15900
OI0000493,O000168,P0034,4,24900
OI0000494,O000168,P0097,1,27000
OI0000495,O000168,P0044,7,28900
OI0000496,O000169,P0014,7,11900
OI0000497,O000170,P0093,5,23000
OI0000498,O000170,P0021,7,18100
OI0000499,O000170,P0060,4,9300
OI0000500,O000170,P0017,1,12500
OI0000501,O000170,P0036,5,19800
OI0000502,O000171,P0044,7,28900
OI0000503,O000171,P0005,5,24300
OI0000504,O000171,P0047,5,19500
OI0000505,O000172,P0002,2,18800
OI0000506,O000172,P0040,6,20900
OI0000507,O000172,P0034,3,24900
OI0000508,O000172,P0057,8,8900
OI0000509,O000172,P0003,8,12600
OI0000510,O000173,P0062,4,12000
OI0000511,O000173,P0053,1,14700
OI0000512,O000173,P0075,2,27300
OI0000513,O000174,P0057,3,8900
OI0000514,O000175,P0017,4,12500
OI0000515,O000175,P0081,3,12500
OI0000516,O000175,P0019,1,21400
OI0000517,O000175,P0030,2,5600
OI0000518,O000176,P0075,6,27300
OI0000519,O000176,P0006,4,18800
OI0000520,O000176,P0008,5,16800
OI0000521,O000176,P0033,1,20600
OI0000522,O000177,P0031,6,6900
OI0000523,O000177,P0014,2,11900
OI0000524,O000177,P0065,8,23200
OI0000525,O000177,P0015,2,28900
OI0000526,O000177,P0031,4,6900
OI0000527,O000178,P0010,7,23100
OI0000528,O000178,P0037,3,16100
OI0000529,O000178,P0004,6,26300
OI0000530,O000178,P0078,6,15900
OI0000531,O000179,P0061,5,5300
OI0000532,O000179,P0080,1,12300
OI0000533,O000179,P0021,6,18100
OI0000534,O000180,P0004,2,26300
OI0000535,O000180,P0078,4,15900
OI0000536,O000180,P0041,6,20500
OI0000537,O000180,P0028,7,14800
OI0000538,O000180,P0075,1,27300
OI0000539,O000181,P0010,4,23100
OI0000540,O000182,P0094,7,19100
OI0000541,O000182,P0069,2,8000
OI0000542,O000182,P0068,1,25800
OI0000543,O000182,P0078,8,15900
OI0000544,O000182,P0085,8,8600
OI0000545,O000183,P0038,4,7300
OI0000546,O000183,P0043,4,20300
OI0000547,O000183,P0099,6,7400
OI0000548,O000183,P0030,8,5600
OI0000549,O000183,P0041,2,20500
OI0000550,O000184,P0047,2,19500
OI0000551,O000184,P0046,2,11000
OI0000552,O000184,P0047,8,19500
OI0000553,O000184,P0078,4,15900
OI0000554,O000185,P0069,4,8000
OI0000555,O000185,P0100,7,27800
OI0000556,O000186,P0037,6,16100
OI0000557,O000186,P0041,2,20500
OI0000558,O000186,P0011,7,7300
OI0000559,O000187,P0064,4,19400
OI0000560,O000187,P0024,8,17500
OI0000561,O000187,P0002,3,18800
OI0000562,O000187,P0016,7,13800
OI0000563,O000187,P0034,8,24900
OI0000564,O000188,P0004,3,26300
OI0000565,O000188,P0010,3,23100
OI0000566,O000188,P0066,7,8800
OI0000567,O000188,P0055,6,22400
OI0000568,O000189,P0092,5,26800
OI0000569,O000189,P0016,6,13800
OI0000570,O000190,P0093,1,23000
OI0000571,O000191,P0053,8,14700
OI0000572,O000191,P0095,7,19500
OI0000573,O000191,P0038,8,7300
OI0000574,O000191,P0090,3,14800
OI0000575,O000192,P0011,3,7300
OI0000576,O000192,P0001,6,12300
OI0000577,O000192,P0087,8,11200
OI0000578,O000192,P0049,6,18300
OI0000579,O000192,P0057,3,8900
OI0000580,O000193,P0030,5,5600
OI0000581,O000194,P0068,7,25800
OI0000582,O000194,P0037,6,16100
OI0000583,O000194,P0050,6,6900
OI0000584,O000194,P0097,3,27000
OI0000585,O000194,P0019,1,21400
OI0000586,O000195,P0079,6,28000
OI0000587,O000195,P0013,6,25800
OI0000588,O000195,P0037,3,16100
OI0000589,O000195,P0016,5,13800
OI0000590,O000195,P0036,8,19800
OI0000591,O000196,P0034,2,24900
OI0000592,O000196,P0030,5,5600
OI0000593,O000196,P0019,2,21400
OI0000594,O000197,P0004,1,26300
OI0000595,O000197,P0070,4,15900
OI0000596,O000198,P0048,4,22700
OI0000597,O000199,P0067,3,24800
OI0000598,O000199,P0059,5,26900
OI0000599,O000199,P0015,2,28900
OI0000600,O000199,P0057,7,8900
OI0000601,O000200,P0036,2,19800
OI0000602,O000200,P0046,2,11000
OI0000603,O000201,P0065,6,23200
OI0000604,O000201,P0036,8,19800
OI0000605,O000202,P0005,7,24300
OI0000606,O000202,P0013,6,25800
OI0000607,O000202,P0025,1,5400
OI0000608,O000203,P0029,4,30000
OI0000609,O000203,P0034,8,24900
OI0000610,O000203,P0020,8,9600
OI0000611,O000203,P0024,8,17500
OI0000612,O000204,P0067,4,24800
OI0000613,O000205,P0079,4,28000
OI0000614,O000205,P0091,3,18200
OI0000615,O000205,P0005,7,24300
OI0000616,O000205,P0089,5,7300
OI0000617,O000205,P0079,7,28000
OI0000618,O000206,P0068,3,25800
OI0000619,O000206,P0039,4,15800
OI0000620,O000206,P0038,8,7300
OI0000621,O000206,P0063,7,7300
OI0000622,O000207,P0013,4,25800
OI0000623,O000207,P0015,5,28900
OI0000624,O000207,P0054,8,15300
OI0000625,O000208,P0023,8,25600
OI0000626,O000209,P0091,3,18200
OI0000627,O000209,P0100,8,27800
OI0000628,O000209,P0063,7,7300
OI0000629,O000209,P0088,4,22000
OI0000630,O000210,P0053,1,14700
OI0000631,O000210,P0072,6,7500
OI0000632,O000211,P0057,7,8900
OI0000633,O000211,P0052,5,28900
OI0000634,O000211,P0007,5,16000
OI0000635,O000211,P0063,4,7300
OI0000636,O000212,P0058,7,7700
OI0000637,O000212,P0029,3,30000
OI0000638,O000212,P0069,4,8000
OI0000639,O000213,P0078,1,15900
OI0000640,O000213,P0093,1,23000
OI0000641,O000214,P0046,2,11000
OI0000642,O000214,P0084,1,8800
OI0000643,O000214,P0067,4,24800
OI0000644,O000215,P0069,7,8000
OI0000645,O000215,P0092,4,26800
OI0000646,O000216,P0053,4,14700
OI0000647,O000216,P0071,4,19500
OI0000648,O000216,P0002,1,18800
OI0000649,O000217,P0063,1,7300
OI0000650,O000217,P0021,5,18100
OI0000651,O000217,P0039,1,15800
OI0000652,O000217,P0030,4,5600
OI0000653,O000218,P0084,7,8800
OI0000654,O000218,P0017,5,12500
OI0000655,O000218,P0011,2,7300
OI0000656,O000218,P0010,7,23100
OI0000657,O000219,P0078,3,15900
OI0000658,O000219,P0013,7,25800
OI0000659,O000219,P0025,5,5400
OI0000660,O000219,P0042,7,26600
OI0000661,O000219,P0066,1,8800
OI0000662,O000220,P0034,8,24900
OI0000663,O000221,P0053,5,14700
OI0000664,O000221,P0062,5,12000
OI0000665,O000222,P0064,7,19400
OI0000666,O000223,P0029,1,30000
OI0000667,O000223,P0051,4,13700
OI0000668,O000223,P0058,6,7700
OI0000669,O000223,P0062,2,12000
OI0000670,O000224,P0013,3,25800
OI0000671,O000225,P0019,7,21400
OI0000672,O000226,P0098,4,5800
OI0000673,O000226,P0008,8,16800
OI0000674,O000226,P0033,7,20600
OI0000675,O000226,P0040,6,20900
OI0000676,O000226,P0020,1,9600
OI0000677,O000227,P0001,5,12300
OI0000678,O000227,P0089,4,7300
OI0000679,O000227,P0097,8,27000
OI0000680,O000227,P0070,8,15900
OI0000681,O000228,P0091,8,18200
OI0000682,O000228,P0066,2,8800
OI0000683,O000228,P0014,7,11900
OI0000684,O000228,P0090,2,14800
OI0000685,O000229,P0067,2,24800
OI0000686,O000229,P0022,4,21200
OI0000687,O000230,P0064,3,19400
OI0000688,O000230,P0081,8,12500
OI0000689,O000230,P0018,7,7200
OI0000690,O000230,P0052,1,28900
OI0000691,O000231,P0093,5,23000
OI0000692,O000231,P0067,6,24800
OI0000693,O000231,P0079,6,28000
OI0000694,O000232,P0067,4,24800
OI0000695,O000232,P0079,6,28000
OI0000696,O000232,P0067,5,24800
OI0000697,O000233,P0096,3,7800
OI0000698,O000233,P0022,8,21200
OI0000699,O000233,P0002,6,18800
OI0000700,O000234,P0001,5,12300
OI0000701,O000235,P0059,6,26900
OI0000702,O000235,P0013,1,25800
OI0000703,O000235,P0080,8,12300
OI0000704,O000235,P0077,3,10800
OI0000705,O000235,P0009,6,20100
OI0000706,O000236,P0025,5,5400
OI0000707,O000237,P0048,7,22700
OI0000708,O000237,P0033,4,20600
OI0000709,O000237,P0010,3,23100
OI0000710,O000238,P0034,2,24900
OI0000711,O000238,P0017,7,12500
OI0000712,O000239,P0078,5,15900
OI0000713,O000239,P0095,8,19500
OI0000714,O000239,P0027,3,28700
OI0000715,O000239,P0001,4,12300
OI0000716,O000239,P0028,2,14800
OI0000717,O000240,P0042,2,26600
OI0000718,O000241,P0055,8,22400
OI0000719,O000241,P0042,5,26600
OI0000720,O000241,P0065,2,23200
OI0000721,O000241,P0031,7,6900
OI0000722,O000242,P0040,6,20900
OI0000723,O000242,P0068,2,25800
OI0000724,O000242,P0078,4,15900
OI0000725,O000243,P0056,8,7200
OI0000726,O000243,P0063,5,7300
OI0000727,O000244,P0023,1,25600
OI0000728,O000244,P0047,8,19500
OI0000729,O000244,P0099,6,7400
OI0000730,O000245,P0049,6,18300
OI0000731,O000245,P0023,1,25600
OI0000732,O000246,P0001,5,12300
OI0000733,O000246,P0043,2,20300
OI0000734,O000247,P0078,5,15900
